,fid,max0,max1,max2,mean0,mean1,mean2,min0,min1,min2,std0,std1,std2
0,t308,247,253,255,26.394561767578125,31.762481689453125,62.77081298828125,0,0,37,40.72341658871527,43.18392621104957,32.09512486288299
0,t309,250,254,254,22.25201416015625,27.469879150390625,63.187652587890625,0,0,40,32.865146969813715,36.39386661992474,24.98786700468365
0,t31,251,232,237,74.64291381835938,84.67196655273438,154.21603393554688,0,0,68,70.44567915339243,69.18698370096469,37.62462798615429
0,t310,252,255,255,22.713943481445312,28.035659790039062,64.27142333984375,0,0,37,35.76386558668361,38.16842862672599,27.25282536735229
0,t311,255,255,255,26.818145751953125,33.1890869140625,75.35209655761719,0,1,48,37.178810586412766,40.71253168410391,26.604905940061954
0,t312,247,255,254,17.186965942382812,22.149688720703125,69.08529663085938,0,3,43,27.202419943675103,28.432376221541887,19.163871880992424
0,t313,252,255,255,27.756484985351562,32.60981750488281,82.05888366699219,1,0,49,42.83135432944511,46.3226084345017,30.595218740662027
0,t314,253,255,255,18.277923583984375,20.833877563476562,68.25663757324219,0,0,39,34.558449566784404,36.358627656575294,25.346570137729103
0,t315,248,253,254,26.409988403320312,33.725006103515625,75.57223510742188,0,2,36,37.96502140208669,40.18455085149258,28.276603133594435
0,t316,253,255,255,29.79876708984375,35.88761901855469,84.19558715820312,1,1,54,39.85303930859322,44.10353795157554,27.149034661768173
0,t317,252,254,255,22.420257568359375,28.39508056640625,58.6392822265625,0,0,29,40.27249659160415,42.54890062392955,31.82520108259635
0,t318,255,254,255,28.313034057617188,35.34257507324219,72.93215942382812,0,1,39,38.20081694888947,41.31213468257368,28.582287869986672
0,t319,250,255,255,31.178253173828125,37.08586120605469,80.97840881347656,2,1,44,41.57725258885284,45.57477568252503,29.815350333103645
0,t32,255,255,255,44.88291931152344,51.20860290527344,133.49020385742188,0,0,68,61.16900568979527,62.867618946875915,43.40358910392085
0,t320,251,255,255,18.513397216796875,22.255462646484375,77.77496337890625,0,1,48,25.116832179775457,27.950943355130608,17.781909536418024
0,t321,253,255,255,28.470962524414062,34.670654296875,80.28688049316406,0,1,48,38.8824527853917,41.97086693529705,26.904899496951117
0,t322,251,254,255,28.774398803710938,34.3289794921875,71.55690002441406,0,0,31,40.71883009721639,43.8393331817655,30.596422666942207
0,t323,252,255,255,34.673980712890625,41.1005859375,81.90931701660156,3,1,46,43.72044276954944,47.088213164151966,32.29420743110686
0,t324,251,255,255,33.93544006347656,40.813385009765625,80.49699401855469,2,2,47,40.813685513002184,44.718148720535204,29.74702795434225
0,t325,248,254,254,24.1043701171875,29.742919921875,77.16390991210938,2,1,47,31.360050389677173,34.94127124826399,22.507285495732607
0,t326,253,255,255,26.771438598632812,32.98588562011719,79.73284912109375,2,2,53,37.037224963558415,41.21186757396096,26.274970894290067
0,t327,255,255,255,31.003082275390625,37.162200927734375,77.96897888183594,0,1,45,45.90740227899459,49.272685880878086,33.98597471407026
0,t328,255,255,255,34.32421875,40.98095703125,81.79557800292969,0,1,49,48.465563474445524,51.62805318001357,35.234307086293256
0,t329,255,255,255,29.595413208007812,35.32215881347656,90.71673583984375,1,2,55,45.48141122935267,48.20393968064262,30.883862783170624
0,t33,255,237,250,50.91802978515625,66.03775024414062,155.7770538330078,0,4,82,66.31418959451467,64.21251307507839,40.061041515741444
